,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Merge,Entity,Code,Year,Coal Electricity (TWh),Gas Electricity (TWh),Hydro Electricity (TWh),Nuclear Electricity (TWh),Oil Electricity (TWh),Other Renewables Electricity (TWh),Solar Electricity (TWh),Wind Electricity (TWh),Biofuels Energy (TWh),Coal Energy (TWh),Gas Energy (TWh),Other Energy (TWh),Hydro Energy (TWh),Nuclear Energy (TWh),Solar Energy (TWh),Wind Energy (TWh),Oil Energy (TWh),Total Electricity,Total Energy,Total Fossil Fuel Electricity (TWh),Total Sustainable Electricity (TWh),Total Fossil Fuel Energy (TWh),Total Sustainable Energy (TWh),Coal Electricity Share (%),Gas Electricity Share (%),Hydro Electricity Share (%),Nuclear Electricity Share (%),Oil Electricity Share (%),Other Renewables Electricity Share (%),Solar Electricity Share (%),Wind Electricity Share (%),Total Fossil Fuel Electricity Share (%),Total Sustainable Electricity Share (%),Biofuels Energy Share (%),Coal Energy Share (%),Gas Energy Share (%),Other Energy Share (%),Hydro Energy Share (%),Nuclear Energy Share (%),Solar Energy Share (%),Wind Energy Share (%),Oil Energy Share (%),Total Fossil Fuel Energy Share (%),Total Sustainable Energy Share (%),Coal Electricity per Capita (TWh/person),Gas Electricity per Capita (TWh/person),Hydro Electricity per Capita (TWh/person),Nuclear Electricity per Capita (TWh/person),Oil Electricity per Capita (TWh/person),Other Renewables Electricity per Capita (TWh/person),Solar Electricity per Capita (TWh/person),Wind Electricity per Capita (TWh/person),Total Fossil Fuel Electricity per Capita (TWh/person),Total Sustainable Electricity per Capita (TWh/person),Biofuels Energy per Capita (TWh/person),Coal Energy per Capita (TWh/person),Gas Energy per Capita (TWh/person),Other Energy per Capita (TWh/person),Hydro Energy per Capita (TWh/person),Nuclear Energy per Capita (TWh/person),Solar Energy per Capita (TWh/person),Wind Energy per Capita (TWh/person),Oil Energy per Capita (TWh/person),Total Fossil Fuel Energy per Capita (TWh/person),Total Sustainable Energy per Capita (TWh/person),Coal Electricity per Capita (TWh/$),Gas Electricity per Capita (TWh/$),Hydro Electricity per Capita (TWh/$),Nuclear Electricity per Capita (TWh/$),Oil Electricity per Capita (TWh/$),Other Renewables Electricity per Capita (TWh/$),Solar Electricity per Capita (TWh/$),Wind Electricity per Capita (TWh/$),Total Fossil Fuel Electricity per Capita (TWh/$),Total Sustainable Electricity per Capita (TWh/$),Biofuels Energy per Capita (TWh/$),Coal Energy per Capita (TWh/$),Gas Energy per Capita (TWh/$),Other Energy per Capita (TWh/$),Hydro Energy per Capita (TWh/$),Nuclear Energy per Capita (TWh/$),Solar Energy per Capita (TWh/$),Wind Energy per Capita (TWh/$),Oil Energy per Capita (TWh/$),Total Fossil Fuel Energy per Capita (TWh/$),Total Sustainable Energy per Capita (TWh/$),GDP per capita (2011 USD),Population,GDP (2011 USD)
20,694,694,694,Benin2019,Benin,BEN,2019,0,0.204173554,0.001,0,0.100826446,-0.000333333,0.005,0,0,0,0,0,0,0,0,0,0,inf,,0.305,0.005666667,0,0,0,0.65721101,0.003218884,0,0.324548646,-0.00107296,0.016094421,0,0.981759656,0.018240344,,,,,,,,,,,,0,1.73E-08,8.47E-11,0,8.54E-09,-2.82E-11,4.24E-10,0,2.58E-08,4.80E-10,0,0,0,0,0,0,0,0,0,0,0,,inf,inf,,inf,#NAME?,inf,,inf,inf,,,,,,,,,,,,0,11801000,0
21,714,714,714,Bermuda2019,Bermuda,BMU,2019,0,0,0,0,0.618,0,0,0,0,0,0,0,0,0,0,0,0,inf,,0.618,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,0,0,0,0,9.81E-06,0,0,0,9.81E-06,0,0,0,0,0,0,0,0,0,0,0,0,,,,,inf,,,,inf,,,,,,,,,,,,,0,63000,0
22,734,734,734,Bhutan2019,Bhutan,BTN,2019,0,0,7.623,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,inf,,0,7.625,0,0,0,0,0.999737705,0,0,0,0.000131148,0.000131148,0,1,,,,,,,,,,,,0,0,9.99E-06,0,0,0,1.31E-09,1.31E-09,0,9.99E-06,0,0,0,0,0,0,0,0,0,0,0,,,inf,,,,inf,inf,,inf,,,,,,,,,,,,0,763000,0
23,754,754,754,Bolivia2019,Bolivia,BOL,2019,0,7.244666667,2.635333333,0,0,0.293333333,0.011,0.076,0,0,0,0,0,0,0,0,0,inf,,7.244666667,3.015666666,0,0,0,0.706084923,0.256846756,0,0,0.028589065,0.00107209,0.007407167,0.706084923,0.293915077,,,,,,,,,,,,0,6.29E-07,2.29E-07,0,0,2.55E-08,9.55E-10,6.60E-09,6.29E-07,2.62E-07,0,0,0,0,0,0,0,0,0,0,0,,inf,inf,,,inf,inf,inf,inf,inf,,,,,,,,,,,,0,11513000,0
24,774,774,774,Bosnia and Herzegovina2019,Bosnia and Herzegovina,BIH,2019,12.45166667,0,6.819,0,0,0.043,0.028,0.001,0,0,0,0,0,0,0,0,0,inf,,12.45166667,6.891,0,0,0.643740953,0,0.352536706,0,0,0.002223065,0.001447577,5.17E-05,0.643740953,0.356259047,,,,,,,,,,,,3.77E-06,0,2.07E-06,0,0,1.30E-08,8.48E-09,3.03E-10,3.77E-06,2.09E-06,0,0,0,0,0,0,0,0,0,0,0,inf,,inf,,,inf,inf,inf,inf,inf,,,,,,,,,,,,0,3301000,0
25,794,794,794,Botswana2019,Botswana,BWA,2019,2.856,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,inf,,2.856,0.002,0,0,0.99930021,0,0,0,0,0,0.00069979,0,0.99930021,0.00069979,,,,,,,,,,,,1.24E-06,0,0,0,0,0,8.68E-10,0,1.24E-06,8.68E-10,0,0,0,0,0,0,0,0,0,0,0,inf,,,,,,inf,,inf,inf,,,,,,,,,,,,0,2304000,0
26,849,849,849,Brazil2019,Brazil,BRA,2019,25.72941289,58.8701638,399.2971157,16.16483179,7.88364672,56.25436624,5.56271064,55.83320041,270.9243486,182.2435883,358.0949781,139.2979892,988.7461011,40.02762306,13.77447583,138.2550914,1314.03445,inf,inf,92.48322341,533.1122248,1854.373016,1591.025629,0.041127877,0.094102609,0.638267297,0.025839113,0.012601829,0.089921316,0.008891866,0.089248092,0.147832315,0.852167685,0.078633672,0.052894776,0.103934266,0.040430151,0.28697582,0.011617704,0.003997934,0.040127459,0.381388218,0.538217259,0.461782741,1.22E-07,2.79E-07,1.89E-06,7.66E-08,3.74E-08,2.67E-07,2.64E-08,2.65E-07,4.38E-07,2.53E-06,1.28E-06,8.64E-07,1.70E-06,6.60E-07,4.68E-06,1.90E-07,6.53E-08,6.55E-07,6.23E-06,8.79E-06,7.54E-06,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,211050000,0
27,869,869,869,British Virgin Islands2019,British Virgin Islands,VGB,2019,0,0,0,0,0.191333333,0,0.0003,0.001,0,0,0,0,0,0,0,0,0,inf,,0.191333333,0.0013,0,0,0,0,0,0,0.993251428,0,0.001557363,0.00519121,0.993251428,0.006748572,,,,,,,,,,,,0,0,0,0,6.38E-06,0,1.00E-08,3.33E-08,6.38E-06,4.33E-08,0,0,0,0,0,0,0,0,0,0,0,,,,,inf,,inf,inf,inf,inf,,,,,,,,,,,,0,30000,0
28,889,889,889,Brunei2019,Brunei,BRN,2019,0,3.892666667,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,inf,,3.892666667,0.002,0,0,0,0.999486477,0,0,0,0,0.000513523,0,0.999486477,0.000513523,,,,,,,,,,,,0,8.99E-06,0,0,0,0,4.62E-09,0,8.99E-06,4.62E-09,0,0,0,0,0,0,0,0,0,0,0,,inf,,,,,inf,,inf,inf,,,,,,,,,,,,0,433000,0
29,944,944,944,Bulgaria2019,Bulgaria,BGR,2019,18.64823894,2.921716308,3.421746935,16.5692799,0.400756,1.154,1.830705716,1.307188344,0,57.93196472,28.30875,2.857553889,8.472986111,41.02912417,4.533223611,3.236881389,59.16268639,inf,inf,21.97071125,24.2829209,145.4034011,60.12976917,0.403173504,0.063167284,0.073977908,0.358226568,0.008664314,0.024949392,0.039579718,0.028261312,0.475005102,0.524994898,0,0.281861875,0.137733243,0.013903128,0.041224422,0.199622884,0.022055922,0.015748706,0.287849822,0.707444939,0.292555061,2.66E-06,4.17E-07,4.89E-07,2.37E-06,5.73E-08,1.65E-07,2.62E-07,1.87E-07,3.14E-06,3.47E-06,0,8.28E-06,4.04E-06,4.08E-07,1.21E-06,5.86E-06,6.48E-07,4.62E-07,8.45E-06,2.08E-05,8.59E-06,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,7000000,0
